Tue Jul  9 09:52:18 2024    output.prof

         22057664 function calls (20662531 primitive calls) in 18.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.001    0.000    3.270    0.046 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:225(get_executable)
       71    0.000    0.000    3.265    0.046 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
  205/183    0.001    0.000    2.828    0.015 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:847(compile_subroutine)
    61/55    0.001    0.000    2.825    0.051 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:809(_compile_subroutine_no_cache)
    61/55    0.000    0.000    2.512    0.046 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:811(compile_internal)
  842/563    0.001    0.000    2.433    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1189(__call__)
  842/563    0.001    0.000    2.431    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1218(wrapper)
  166/146    0.000    0.000    2.264    0.016 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:876(compile_internal)
        2    0.002    0.001    2.105    1.053 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:91(animate_model)
  366/257    0.001    0.000    2.072    0.008 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:900(lower_call)
  338/241    0.001    0.000    2.067    0.009 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1142(_lower_call_normal)
       62    1.936    0.031    1.939    0.031 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:364(calculate_view_factors)
      133    0.001    0.000    1.829    0.014 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:781(_finalize_final_module)
      133    0.001    0.000    1.650    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:667(_optimize_final_module)
      266    0.000    0.000    1.648    0.006 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:681(run)
      133    0.000    0.000    1.565    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:996(_finalize_specific)
      217    0.000    0.000    1.453    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1058(wrapper)
      133    0.000    0.000    1.451    0.011 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
        2    0.000    0.000    1.415    0.707 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/render_window_interactor.py:1370(initialize)
        2    1.415    0.707    1.415    0.707 {method 'Initialize' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
        5    0.000    0.000    1.413    0.283 /opt/homebrew/lib/python3.11/site-packages/numba/np/arraymath.py:306(array_sum_axis)
        1    0.058    0.058    1.284    1.284 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:444(calculate_insolation)
       39    0.001    0.000    0.986    0.025 /opt/homebrew/lib/python3.11/site-packages/numba/np/ufunc/array_exprs.py:354(_lower_array_expr)
        1    0.149    0.149    0.908    0.908 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:618(thermophysical_body_model)
      208    0.001    0.000    0.903    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:723(add_ir_module)
     3754    0.004    0.000    0.902    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:57(pformat)
     3754    0.005    0.000    0.895    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:156(pformat)
87121/3754    0.061    0.000    0.886    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:168(_format)
     3618    0.005    0.000    0.570    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:206(_pprint_dict)
     1214    0.008    0.000    0.565    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/postproc.py:71(run)
   165503    0.060    0.000    0.537    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:454(_repr)
